id,rest_name,rest_address,dish_category,dish_name,dish_disc,dish_ingredients,dish_style,dish_mood,dish_rec_nutritionist,dish_rec_community,dish_rec_a_oblomov,dish_rec_a_ivlev,stat_reviews,stat_rating,foodToMoodCoin,url,dish_price,dish_g
33,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Закуски,Брускетта с ростбифом,"Витамины В12, цинк, железо, селен, содержащиеся в данном блюде принесут неоценимую пользу вашему здоровью и эмоциональному состоянию.;Б9,5 Ж17,2 У14,7 Кк244,5","Чиабатта, подсолнечное масло, соус перечный, сливки, соевый соус, перец, салат Айсберг, салат руккола, салат Романо, ростбиф, огурец, соль, сахар, уксус рисовый, перец чили, чеснок, укроп, вода, томат, лук, хлеб, масло, овощи, зелень, говядина, мясо",Стандартное,"Радость, Печаль, Гнев, Спокойствие, Волнение,","Гнев = 12, Волнение = 14, Радость = 13, Печаль = 3, Спокойствие  = 11",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,399,105
34,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Закуски,Брускетта с сальсой из вяленых томатов и сыром,"Неисчерпаемым источником витаминов и минералов является брускетта с ароматной сальсой из вяленых томатов и сыром. Витамины С, Е, В, фосфор и железо, содержащиеся в данном блюде наполнят вас силами и эмоциональным зарядом.;Б9,5 Ж39,3 У13,9 Кк437","Чиабатта, подсолнечное масло, соус, томаты сушеные в масле, лук, лимон, петрушка, сыр моцарелла, зеленое масло, масло подсолнечное, перец, хлеб, масло, томаты, помидоры, овощи, цитрусы, зелень, сыр",Стандартное,"Радость, Печаль, Гнев, Спокойствие, Волнение,","Спокойствие = 3, Радость = 2, Гнев = 10, Печаль = 1, Волнение = 5",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,399,120
35,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Закуски,Мясная гастрономия,"Данное блюдо, как батарейка. Находящиеся в его составе витамины группы В, железо, калий, фосфор сделают вас счастливее и заряженнее.;Б21,6 Ж22,4 У8,2 Кк322,6","Коппа, свинина, специи, кориандр, тмин, хмели-сунели, тимьян, фенхель, перец, соль морская, сахар, Брезаола, говядина, ростбиф, бекон, чеснок, можжевеловая ягода, хлебцы Гриссини, мясо, хлеб, зелень",Стандартное,"Радость, Печаль, Гнев, Спокойствие, Волнение,","Гнев = 5, Волнение = 4, Радость = 1, Печаль = 2, Спокойствие  = 4",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,899,138
36,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Закуски,Лосось с/с с лимоном,"Блюдо из лосося с лимоном окунет вас в море вкусов. Рыба, богатая омегой-3, витаминами группы В12, фосфором и калием вдохновит вас на новые свершения.;Б16,5 Ж5,9 У3 Кк168","Лосось, лимон, рыба, цитрусы","Стандартное, диетическое","Радость, Печаль, Гнев, Спокойствие, Волнение,","Волнение = 6, Гнев = 11, Радость = 10, Печаль = 12, Спокойствие  = 9",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,899,70/15
37,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Закуски,Масляная х/к с лимоном,"Масляная защищает вашу кожу и бережно заботится о вашем организме. Омега-3, витамины группы В12, фосфор, калий в ее составе улучшит кожный покров и вы станете чувствовать себя увереннее и привлекательнее.;Б18,5 Ж9,1 У0,7 Кк166","Масляная, лимон, цитрусы, рыба","Стандартное, диетическое","Радость, Печаль, Гнев, Спокойствие, Волнение,","Спокойствие= 6, Волнение = 11, Радость = 4, Печаль = 13, Гнев = 8",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,899,70/15
38,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Закуски,Угорь г/к с лимоном,"Угорь с лимоном, содержащие витамины A, D, E и омегу-3, создают идеальное сочетание нежности и пользы для вашего организма.;Б15,9 Ж22 У4,9 Кк284","Угорь, лимон, рыба, цитрусы, морепродукты","Стандартное, диетическое","Радость, Печаль, Гнев, Спокойствие, Волнение,","Спокойствие = 7, Волнение = 8, Печаль = 5, Радость = 14, Гнев  = 3",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,1199,70/15
39,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Закуски,Сырная тарелка,"Сырная тарелка, наполненная кальцием, фосфором, витамином А и РР, создает фундамент для ваших костей и здоровых зубов. Вы сможете дарить лучезарную улыбку окружающим вас людям.;Б13,7 Ж15,6 У19,1 Кк265,5","Сыр ""Дор-Блю"", сыр ""Пармезан"", сыр ""Моцарелла"", сыр ""Камамбер"", сыр копчёный ""Сулугуни"", грецкий орех, виноград, мёд, сыр, орехи, ягоды","Стандартное, диетическое, вегетарианство","Радость, Печаль, Гнев, Спокойствие, Волнение,","Волнение = 13, Гнев = 2, Радость = 5, Печаль = 14, Спокойствие  = 8",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,1199,150/120
40,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Закуски,Овощная нарезка,"Овощная нарезка, наполненая витаминами С, Е, В, фосфором и железом, вызывает взрыв положительных эмоций.;Б1,2 Ж10,6 У4 Кк114,2","Помидоры, огурцы, сладкий перец, редис, зелёный лук, укроп, петрушка, овощи, перец, лук, зелень","Стандартное, диетическое, вегетарианство, сыроедение","Радость, Печаль, Гнев, Спокойствие, Волнение,","Печаль = 6, Волнение = 10, Спокойствие = 1, Радость = 8, Гнев  = 6",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,399,190
41,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Закуски,Соленья,"Богатый клетчаткой и антиоксидантами состав поможет вам поддерживать пищеварение и общее благополучие организма.;Б1,2 Ж10,1 У3,5 Кк106","Огурец, помидоры-черри, капуста, острый перец, помидоры, томаты, овощи, перец","Стандартное, диетическое","Радость, Печаль, Гнев, Спокойствие, Волнение,","Печаль = 9, Спокойствие = 5, Гнев = 7, Радость  = 9, Волнение = 12",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,349,200
42,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Закуски,Гарлики,"Простая, но вкусная закуска, с ярко выраженным вкусом чеснока, обогащенная кальцием, витамином C, РР, способствует здоровью сердца и сосудов.;Б12,7 Ж17,6 У54,3 Кк432,9","Чесночные гренки, сырный соус, хлеб, чеснок, сыр",Стандартное,"Радость, Печаль, Гнев, Спокойствие, Волнение,","Гнев = 4, Волнение = 9, Радость = 7, Печаль = 8, Спокойствие  = 2",,,, ,  ; 5,,https://barmolodezh.ru/?utm_source=yandexmaps,249,80/50
45,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Закуски,Сельдь на жареном картофеле,"Морской деликатес содержит омегу-3, витамины группы В12, фосфор, калий, кальций, магний, цинк. После данного блюда вы будете щелкать любые задачи как орешки.;Б8,3 Ж26,2 У10,9 Кк312,2","Сельдь, картофель, лук красный маринованный, масло подсолнечное, соль, лук зеленый, рыба, лук, овощи, масло","Стандартное, диетическое","Радость, Печаль, Гнев, Спокойствие, Волнение,","Волнение = 3, Гнев = 14, Радость = 6, Печаль = 7, Спокойствие  = 13",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,399,280
46,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Закуски,Малое пивное ассорти,"Пивное ассорти - праздник для вкусовых рецепторов, дарящий радость и удовольствие без лишних забот. Блюдо содержит витамины A, С, Е, В, фосфор, железо, кальций, РР.;Б8,8 Ж29,5 У17 Кк376,8","Колбаски: с пармезаном, пряные, мексиканские, сырные гренки, луковые кольца, гренки «Бородино», сырные палочки, картофельные чипсы, чесночный соус, соус «Барбекю», мясо, сыр, лук, хлеб, картофель, чеснок",Стандартное,"Радость, Печаль, Гнев, Спокойствие, Волнение,","Волнение = 6, Гнев = 11, Радость = 10, Печаль = 12, Спокойствие  = 9",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,1599,710/100
47,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Закуски,Большое пивное ассорти,"Пивное ассорти - праздник для вкусовых рецепторов, дарящий радость и удовольствие без лишних забот. Блюдо содержит витамины A, С, Е, В, фосфор, железо, кальций, РР.;Б10,8 Ж19,8 У16,2 Кк312,9","Колбаски: с пармезаном, пряные, мексиканские, чупа-чупс из куриных крыльев, куриные джерки, сырные шарики, сырные палочки, гарлики, картофельные чипсы, чесночный соус, горчица, соус «Барбекю», мясо, сыр, курица, картофель",Стандартное,"Радость, Печаль, Гнев, Спокойствие, Волнение,","Гнев = 12, Волнение = 14, Радость = 13, Печаль = 3, Спокойствие  = 11",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,2499,920/150
48,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Закуски,Колбаски Пряные с сыром,"В блюде содержится калий, кальций, магний и цинк. Сочное сочетание ароматных специй и нежного сыра, наполнит организм радостью и энергией.;Б9,3 Ж22,7 У3,6 Кк257,8","Колбаски, картофель-черри, горчица, мясо, картофель",Стандартное,"Радость, Печаль, Гнев, Спокойствие, Волнение,","Спокойствие = 3, Радость = 2, Гнев = 10, Печаль = 1, Волнение = 5",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,649,3шт/100/50
49,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Закуски,Колбаски Мексиканские,"В блюде содержится калий, кальций, магний и цинк. Сочное сочетание ароматных специй и колбасок, подарит массу острых ощущений.;Б8,2 Ж19,9 У4,5 Кк228","Колбаски, картофель-черри, горчица, мясо, картофель",Стандартное,"Радость, Печаль, Гнев, Спокойствие, Волнение,","Гнев = 5, Волнение = 4, Радость = 1, Печаль = 2, Спокойствие  = 15",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,799,3шт/100/50
50,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Закуски,Колбаски с Пармезаном и шпинатом,"В блюде содержится калий, кальций, магний и цинк, а сочное сочетание шпината и пармезана, придаст незабываемый вкус.;Б10,1 Ж13,4 У9 Кк278,3","Колбаски, картофель-черри, горчица, мясо, картофель",Стандартное,"Радость, Печаль, Гнев, Спокойствие, Волнение,","Волнение = 3, Гнев = 13, Радость = 12, Печаль = 4, Спокойствие  = 14",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,899,2шт/100/50
51,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Закуски,Кесадилья с курицей,"Легкая и вкусная закуска, сожержащая кальций, витамины группы В, триптофан и йод, бережно ухаживает за вашим здоровьем и настроением.;Б9,6 Ж13,4 У14 Кк216,7","Пшеничная лепёшка, мясо, помидоры, перец халапеньо, шампиньоны, чеснок, сыр ""Чеддер"", соус ""Руж"", сметана, хлеб, томаты, овощи, перец, грибы, сыр",Стандартное,"Радость, Печаль, Гнев, Спокойствие, Волнение,","Спокойствие= 6, Волнение = 11, Радость = 4, Печаль = 13, Гнев = 8",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,699,280/100
52,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Закуски,"Куриные крылышки ""Устрично-медовые""","Источник гистидина, серотонина, омеги-3, селена, железа, витамина В12, который подарит вам силу и жизненный оптимизм.;Б20,2 Ж17,6 У9 Кк278,3","Куриные крылышки, масло, устрично-медовый соус, морковь, сельдерей, соус Блю-чиз, курица, мясо, устрица, мед, овощи",Стандартное,"Радость, Печаль, Гнев, Спокойствие, Волнение,","Спокойствие = 7, Волнение = 8, Печаль = 5, Радость = 14, Гнев  = 19",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,799,290/50
53,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Закуски,"Куриные крылышки ""Чили-Барбекю""","Источник гистидина, серотонина, омеги-3, селена, железа, витамина В12, который подарит вам силу, жизненный оптимизм и остые ощущения.;Б19,8 Ж17,6 У9,8 Кк276,2","Куриные крылышки, масло, чили соус, морковь, сельдерей, соус Блю-чиз, курица, мясо, овощи",Стандартное,"Радость, Печаль, Гнев, Спокойствие, Волнение,","Гнев = 4, Волнение = 9, Радость = 7, Печаль = 8, Спокойствие  = 2",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,799,290/50
54,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Закуски,"Наггетсы ""Эскимо""","Наггетсы сожержат гистидин, серотонин, омегу-3, селен, железо, витамин В12. Это вкусная возможность побаловать себя без вреда для организма, оставаясь в форме и здоровье.;Б18,9 Ж20,8 У13,7 Кк315,5","Куриная грудка, сырный соус, курица, мясо, сыр",Стандартное,"Радость, Печаль, Гнев, Спокойствие, Волнение,","Печаль = 6, Волнение = 10, Спокойствие = 1, Радость = 8, Гнев  = 6",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,699,290/50
55,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Закуски,"Тарелка ""Хот чикен""","Источник гистидина, серотонина, омеги-3, селена, железа, витамина В12, который подарит жизненный оптимизм и полет мыслей.;Б9,8 Ж14,5 У9,9 Кк240","Куриные крылышки ""Чили-Барбекю"", куриные джерки, куриные наггетсы-эскимо, чупа-чупс из куриных крыльев, картофельные чипсы, чесночный соус, сырный соус, курица, мясо, картофель, чеснок, сыр",Стандартное,"Радость, Печаль, Гнев, Спокойствие, Волнение,","Печаль = 9, Спокойствие = 5, Гнев = 17, Радость  = 9, Волнение = 12",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,2199,990/100
56,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Закуски,"Гренки "" Бородино""","Простая, но вкусная закуска, с чесночным соусом, придающим незабываемый вкус. Гренки, обогащенные кальцием, витаминами группы В, триптофаном и йодом, способствуют здоровью сердца и сосудов.;Б5,9 Ж37,4 У30,3 Кк673","Гренки, чесночный соус, хлеб, чеснок",Стандартное,"Радость, Печаль, Гнев, Спокойствие, Волнение,","Волнение = 13, Гнев = 2, Радость = 5, Печаль = 21, Спокойствие  = 8",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,249,95/50
57,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Закуски,Луковые кольца,"Хрустящее удовольствие, наполненное витаминами С, Е, В, фосфором, железом, поддерживающее ваш организм в тонусе и гармонии.;Б3,6 Ж37,8 У24 Кк549","Луковые кольца, соус ""Тар-тар"", лук","Стандартное, Диетическое, Вегетарианство, Веганство, Сыроедение","Радость, Печаль, Гнев, Спокойствие, Волнение,","Спокойствие = 10, Волнение = 2, Печаль = 11, Радость = 3, Гнев  = 9",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,349,130/50
58,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Закуски,Сырные гренки,"Простая, но вкусная закуска, с сырным соусом, придающим незабываемый вкус. Гренки, обогащенные витаминами С, Е, В, фосфором и железом, сделают вас радостнее и позитивнее.;Б14,7 Ж12,6 У27,8 Кк334","Гренки, чеснок, укроп, хлеб, зелень","Стандартное, Вегетарианство,","Радость, Печаль, Гнев, Спокойствие, Волнение,","Гнев = 20, Волнение = 7, Радость = 11, Печаль = 10, Спокойствие  = 12",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,249,100
59,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Закуски,Самбос с мясом,"Ароматная закуска, богатая кальцием, витаминами группы В, триптофаном, йодом, цинком, железом и селеном, укрепляющая ваш организм и настроение.;Б14,9 Ж16,9 У15 Кк263,8","Тесто, мраморная говядина, перец халапеньо, сыр «Чеддер», сметана, хлеб, говядина, мясо, перец, сыр",Стандартное,"Радость, Печаль, Гнев, Спокойствие, Волнение,","Волнение = 1, Гнев = 14, Радость = 6, Печаль = 7, Спокойствие  = 13",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,699,260/50
60,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Закуски,Сырные шарики,"Сырные шарики порадуют вас своим оригинальным видом и насытят ваш организм кальцием и фосфором.;Б18 Ж50,2 У20,7 Кк602","Сырные шарики, ягодный соус или с тайский чили, сыр, ягоды","Стандартное, Вегетарианство","Радость, Печаль, Гнев, Спокойствие, Волнение,","Печаль = 19, Волнение = 15, Спокойствие = 4, Радость = 20, Гнев  = 1",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,549,150/50
61,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Закуски,Сырные палочки,"Сырные палочки порадуют вас своим оригинальным видом и насытят ваш организм кальцием и фосфором.;Б16,4 Ж40,3 У31,4 Кк572","Сырные палочки, соус ""Сладкий чили"", сыр","Стандартное, Вегетарианство","Радость, Печаль, Гнев, Спокойствие, Волнение,","Печаль = 15, Волнение = 21, Спокойствие = 16, Радость = 17, Гнев  = 15",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,499,140/50
62,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Закуски,Мини-чебуреки,"Блюдо содержит витамин В12, цинк, железо, селен, а сочное сочетание мяса и специй, дарит неописуемое удовольствие.;Б9,8 Ж56,9 У23,9 Кк756","Тесто, мраморная говядина, лук, перец, чесночный соус, хлеб, говядина, мясо, овощи, чеснок",Стандартное,"Радость, Печаль, Гнев, Спокойствие, Волнение,","Гнев = 3, Волнение = 18, Радость = 19, Печаль = 16, Спокойствие  = 17",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,679,200/50
63,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Закуски,Френч чиз,"Данное блюдо, содержащее калий, кальций, магний, цинк не оставит вас равнодушным и осчастливит любого посетителя.;Б11,3 Ж16,5 У13,5 Кк250,2","Картофель, бекон, сыр, перец халапеньо, маринованный огурец, огурец, перец, мясо, овощи",Стандартное,"Радость, Печаль, Гнев, Спокойствие, Волнение,","Гнев = 18, Волнение = 20, Радость = 16, Печаль = 17, Спокойствие  = 21",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,549,190
64,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Закуски,"Тарелка ""Хот фиш""","Морской деликатес, обогащающий витаминами А, D, E, К, бета-каротином, обязательно обрадует ваши вкусовые рецепторы.;Б6,2 Ж11,4 У8,6 Кк215","Креветки, мидии, стрипсы, картофельные чипсы, соус «Тар-тар», соус ""Васаби со сгущенкой"", морепродукты, моллюски, картофель",Стандартное,"Радость, Печаль, Гнев, Спокойствие, Волнение,","Волнение = 17, Гнев = 21, Радость = 18, Печаль = 20, Спокойствие  = 19",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,1899,540/100
65,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Закуски,Стрипсы из кальмара,"Легкая и вкусная закуска, богатая калием, кальцием, магнием, цинком, поддержит вашу активность и жизненный тонус.;Б8,6 Ж21,4 У29 Кк390","Кальмар, картофельный крахмал, кляр, соль, соус «Васаби» со сгущёнкой, рыба, моллюски, картофель",Стандартное,"Радость, Печаль, Гнев, Спокойствие, Волнение,","Спокойствие = 18, Волнение = 19, Радость = 15, Печаль = 14, Гнев  = 16",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,499,210/50
66,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Закуски,Воздушные креветки,"Морской деликатес, обогащающий витаминами А, D, E, К, бета-каротином, обязательно обрадует ваши вкусовые рецепторы.;Б22,5 Ж9,4 У22,45 Кк289,2","Креветки, соевый соус, лайм, картофельный крахмал, кляр, соль, соус «Васаби» со сгущёнкой, рыба, цитрусы, картофель",Стандартное,"Радость, Печаль, Гнев, Спокойствие, Волнение,","Волнение = 16, Гнев = 7, Радость = 14, Печаль = 18, Спокойствие  = 20",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,799,150/50
67,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Горячие блюда,"Паста ""Фетуччини с морепродуктами""","Легкое и вкусное блюдо, богатое витаминами A, D, E, K и бета-каротином, поддерживающее здоровье сердца и мозга. ;Б10,9 Ж15 У18,2 Кк302,5","Паста фетуччини, креветки, мидии, кальмары, грибы Муэр, томатно-сливочный соус, лук, белое сухое вино, икра масаго, макароны, паста, морепродукты, моллюски, грибы, томаты, помидоры, икра",Стандартное,"Радость, Печаль, Гнев, Спокойствие, Волнение,","Печаль = 4, Гнев = 5, Волнение = 3, Спокойствие = 2, Радость = 1",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,799,340
68,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Горячие блюда,"Паста ""Ньокки с креветками""","Изысканное сочетание теста и морепродуктов, дарящее вкусовое наслаждение и полезные вещества для организма. Содержит калий, кальций, магний, цинк, которые улучшат ваше самоощущение.;Б10,4 Ж15,5 У20,9 Кк347","Картофельные ньокки, креветки, рыбный соус, белое вино, помидоры, болгарский перей, сыр Пармезан, соевый соус, масло сливочное, картофель, рыба, моллюски, томаты, овощи, перец, сыр, морепродукты",Стандартное,"Радость, Печаль, Гнев, Спокойствие, Волнение,","Печаль = 1, Гнев = 2, Волнение = 5, Спокойствие = 4, Радость = 3",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,799,300
69,Молодёжь,"Москва, Сущёвская ул., 21, стр. 8",Горячие блюда,"Паста ""Фетучини с курицей и грибами""","Легкое и вкусное блюдо, богатое кальцием, витаминами группы В, триптофаном, йодом. Вы почувствуете прилив сил и будете радоваться каждому моменту жизни.;Б10 Ж10,4 У18,5 Кк267,75","Фетучини, томатный соус, белое сухое вино, стручковая фасоль, шампиньоны, лук, специи, сыр Пармезан, соль, макароны, спагетти, томаты, помидоры, фасоль, грибы, сыр",Стандартное,"Радость, Печаль, Гнев, Спокойствие, Волнение,","Печаль = 2, Гнев = 1, Волнение = 4, Спокойствие = 3, Радость = 5",,,, , ,,https://barmolodezh.ru/?utm_source=yandexmaps,599,290
